Modenumber, Lambda (um), beta  (per um), alpha/2  (per um), k0  (per um); Thickness=1 um
2,0.9160,2.289593471357E+01,1.261616965948E-02,6.8594
2,0.9170,2.286324095789E+01,1.246167369888E-02,6.8519
2,0.9180,2.283061151721E+01,1.230751433079E-02,6.8444
2,0.9190,2.279793234846E+01,1.215369045643E-02,6.8370
2,0.9200,2.276476789419E+01,1.200020098179E-02,6.8295
2,0.9210,2.273447314666E+01,1.184363375069E-02,6.8221
2,0.9220,2.270191961132E+01,1.168740614481E-02,6.8147
2,0.9230,2.266943060811E+01,1.153151706030E-02,6.8074
2,0.9240,2.263854383786E+01,1.137596539804E-02,6.8000
2,0.9250,2.260698471056E+01,1.122075006371E-02,6.7926
2,0.9260,2.257548652974E+01,1.106586996767E-02,6.7853
2,0.9270,2.254393529580E+01,1.091132402503E-02,6.7780
2,0.9280,2.251256456811E+01,1.075711115554E-02,6.7707
2,0.9290,2.248211350782E+01,1.060323028361E-02,6.7634
2,0.9300,2.245007161014E+01,1.044968033830E-02,6.7561
2,0.9310,2.241749289909E+01,1.031846152508E-02,6.7489
2,0.9320,2.238497863087E+01,1.018752429731E-02,6.7416
2,0.9330,2.235332976879E+01,1.005686774955E-02,6.7344
2,0.9340,2.232248132842E+01,9.926490980266E-03,6.7272
2,0.9350,2.229095727621E+01,9.796393091771E-03,6.7200
2,0.9360,2.225938006095E+01,9.666573190219E-03,6.7128
2,0.9370,2.222798316817E+01,9.537030385574E-03,6.7056
2,0.9380,2.219750542055E+01,9.407763791601E-03,6.6985
2,0.9390,2.216543741993E+01,9.278772525836E-03,6.6914
2,0.9400,2.213343227190E+01,9.150055709572E-03,6.6842
2,0.9410,2.210288191476E+01,9.013733446944E-03,6.6771
2,0.9420,2.207159176164E+01,8.877700615870E-03,6.6700
2,0.9430,2.204189903327E+01,8.741956295573E-03,6.6630
2,0.9440,2.201152761767E+01,8.606499569175E-03,6.6559
2,0.9450,2.198109969755E+01,8.471329523680E-03,6.6489
2,0.9460,2.195084869122E+01,8.336445249951E-03,6.6418
2,0.9470,2.192151326050E+01,8.201845842692E-03,6.6348
2,0.9480,2.189140605408E+01,8.067530400427E-03,6.6278
2,0.9490,2.186053703505E+01,7.933498025480E-03,6.6208
2,0.9500,2.182972730015E+01,7.799747823955E-03,6.6139
2,0.9510,2.179937693654E+01,7.688742449398E-03,6.6069
2,0.9520,2.177061871019E+01,7.577970279409E-03,6.6000
2,0.9530,2.174066651893E+01,7.467430579872E-03,6.5931
2,0.9540,2.171088972799E+01,7.357122619746E-03,6.5861
2,0.9550,2.168202673115E+01,7.247045671056E-03,6.5793
2,0.9560,2.165236970682E+01,7.137199008869E-03,6.5724
2,0.9570,2.162197081943E+01,7.027581911284E-03,6.5655
2,0.9580,2.159162977742E+01,6.918193659415E-03,6.5586
2,0.9590,2.156174651973E+01,6.809033537372E-03,6.5518
2,0.9600,2.153265645027E+01,6.700100832250E-03,6.5450
2,0.9610,2.150328514638E+01,6.594108176361E-03,6.5382
2,0.9620,2.147385432754E+01,6.488335879423E-03,6.5314
2,0.9630,2.144459728332E+01,6.382783254962E-03,6.5246
2,0.9640,2.141540018277E+01,6.277449619347E-03,6.5178
2,0.9650,2.138711176538E+01,6.172334291786E-03,6.5111
2,0.9660,2.135722808157E+01,6.067436594303E-03,6.5043
2,0.9670,2.132780062930E+01,5.962755851726E-03,6.4976
